,City,State,2018,2019,2020
327,Sioux City, IA-NE-SD,50677,52855,56131
328,Sioux Falls, SD,60254,64219,67117
329,South Bend-Mishawaka, IN-MI,47206,47759,51017
330,Spartanburg, SC,42669,44151,46543
331,Spokane-Spokane Valley, WA,44631,46337,49449
332,Springfield, IL,47642,49212,52782
333,Springfield, MA,51697,53413,57843
334,Springfield, MO,41339,42993,44565
335,Springfield, OH,40263,41625,45363
336,State College, PA,46210,47947,50615
337,Staunton, VA,43388,44917,47794
338,Stockton, CA,43077,45075,51816
339,Sumter, SC,37440,38573,41807
340,Syracuse, NY,49369,51181,55563
341,Tallahassee, FL,42507,44003,46685
342,Tampa-St. Petersburg-Clearwater, FL,47362,49186,52291
343,Terre Haute, IN,37284,38502,41658
344,Texarkana, TX-AR,37667,38802,41516
345,The Villages, FL,48902,53411,54533
346,Toledo, OH,46790,48252,51408
347,Topeka, KS,46180,47253,50479
348,Trenton-Princeton, NJ,68052,70675,74218
349,Tucson, AZ,43103,44649,48373
350,Tulsa, OK,55350,56680,58071
351,Tuscaloosa, AL,38107,39482,42084
352,Twin Falls, ID,38784,40414,43725
353,Tyler, TX,56084,55986,57076
354,Urban Honolulu, HI,57468,59329,62793
355,Utica-Rome, NY,43255,45855,49581
356,Valdosta, GA,35953,37045,40046
357,Vallejo, CA,49336,51889,58688
358,Victoria, TX,47647,52268,53547
359,Vineland-Bridgeton, NJ,39448,41327,45498
360,Virginia Beach-Norfolk-Newport News, VA-NC,48322,49792,53310
361,Visalia, CA,38613,40040,46348
362,Waco, TX,41319,42274,45403
363,Walla Walla, WA,44521,46648,51767
364,Warner Robins, GA,41902,43109,45888
365,Washington-Arlington-Alexandria, DC-VA-MD-WV,71615,73059,76771
366,Waterloo-Cedar Falls, IA,46002,46971,50126
367,Watertown-Fort Drum, NY,46375,48896,53964
368,Wausau-Weston, WI,49489,51329,54305
369,Weirton-Steubenville, WV-OH,40431,42338,46007
370,Wenatchee, WA,48047,50227,55047
371,Wheeling, WV-OH,48907,47341,48947
372,Wichita, KS,50308,52706,55000
373,Wichita Falls, TX,43262,44754,46954
374,Williamsport, PA,43070,44688,48721
375,Wilmington, NC,44226,46620,48744
376,Winchester, VA-WV,47879,49538,52377
377,Winston-Salem, NC,43881,45600,48151
378,Worcester, MA-CT,54581,56846,61741
379,Yakima, WA,41740,43910,49099
