Model_Year,Model,Manufacturer,ManufacturerID,VehicleID,Category,Fuel,FuelID,Transmission_Type,Engine_Description
2022,"e-tron S Sportback (21"" or 22"" wheels)",Audi,377,12953,SUV,Electric,41,Auto,"157kW electric motor
240 Ah battery"
2022,e-tron Sportback quattro,Audi,377,13001,SUV,Electric,41,Auto,"141 kW and 172 kW electric motors
240 Ah battery"
2022,e-tron quattro,Audi,377,13002,SUV,Electric,41,Auto,"141 kW and 172 kW electric motors
240 Ah battery"
2022,"i4 M50 Gran Coupe (19"" Wheels) ",BMW,211,13048,Sedan/Wagon,Electric,41,Auto,"190 and 230 kW electric motors
211 Ah battery"
2022,"i4 M50 Gran Coupe (20"" Wheels) ",BMW,211,13049,Sedan/Wagon,Electric,41,Auto,"190 and 230 kW electric motors
211 Ah battery"
2022,"i4 eDrive40 Gran Coupe (18"" Wheels) ",BMW,211,13047,Sedan/Wagon,Electric,41,Auto,"250 kW electric motor
211 Ah battery"
2022,"i4 eDrive40 Gran Coupe (19"" Wheels) ",BMW,211,13046,Sedan/Wagon,Electric,41,Auto,"250 kW electric motor
211 Ah battery"
2022,"iX xDrive50 (20"" Wheels) ",BMW,211,13050,SUV,Electric,41,Auto,"190 and 230 kW electric motors
303 Ah battery"
2022,"iX xDrive50 (21"" Wheels) ",BMW,211,13051,SUV,Electric,41,Auto,"190 and 230 kW electric motors
303 Ah battery"
2022,"iX xDrive50 (22"" Wheels) ",BMW,211,13052,SUV,Electric,41,Auto,"190 and 230 kW electric motors
303 Ah battery"
